ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID617281164,2/63 Domain St,SOUTH YARRA,920000.0,u,13/05/2017,3,1.0,1.0,0.0,49.0,-37.836,144.9782,19959,1272.84,12.54,False,1245.0,3886.0,447.67,Melbourne Grammar School,285.08,79,Melbourne Grammar School,285.08,14
ID452715143,8/7 Passfield St,BRUNSWICK WEST,521500.0,u,3/09/2016,2,1.0,1.0,0.0,59.0,-37.768,144.9408,19968,1653.43,25.33,True,958.67,5673.0,628.0,Brunswick South West Primary School,373.54,316,Brunswick Secondary College,1291.37,211
ID895713969,65 Napier St,ESSENDON,1467000.0,h,7/11/2016,3,2.0,2.0,188.0,119.0,-37.7532,144.9178,20037,343.3,24.0,False,334.67,1407.67,88.33,Essendon Primary School,285.58,133,St Columba's College,542.12,85
ID721036868,3 Veronica St,BENTLEIGH EAST,1390000.0,h,7/05/2016,3,2.0,2.0,590.0,59.0,-37.9256,145.0757,19916,2849.22,31.35,False,925.67,4701.33,308.67,St Peter's School,507.73,345,St James' College,392.83,not ranked
ID916194179,24 Brooks St,BENTLEIGH EAST,1220000.0,h,4/06/2016,4,2.0,2.0,585.0,69.0,-37.9167,145.0771,19917,2067.01,29.35,False,925.67,4701.33,308.67,Coatesville Primary School,484.38,271,St James' College,1198.71,not ranked
ID141560534,8A Tangyes St,PASCOE VALE,1210000.0,h,8/07/2017,3,2.0,1.0,330.0,7.0,-37.72623,144.94521,19963,1535.58,36.0,False,705.33,5479.67,335.0,St Oliver Plunkett's School,596.56,not ranked,Pascoe Vale Girls Secondary College,1289.08,not ranked
ID938172543,7/49 Bruce St,TOORAK,867000.0,u,8/04/2017,2,1.0,1.0,1087.0,16.0,-37.8373,145.0106,19947,1100.69,16.21,False,647.0,2861.33,222.67,Toorak Primary School,867.73,83,St Catherine's School,944.47,35
ID491390446,2/23 Foam St,ELWOOD,582500.0,u,8/10/2016,2,1.0,1.0,0.0,49.0,-37.885,144.991,19954,870.03,21.5,True,1566.67,8895.33,491.0,Elwood Primary School,452.77,309,Elwood College,590.25,175
ID858832688,15 Winton Rd,MALVERN EAST,1510000.0,t,20/05/2017,4,3.0,2.0,274.0,11.0,-37.87300000000001,145.0664,19847,1276.0,31.67,False,717.33,1763.0,318.67,Solway Primary School,565.63,278,Korowa Anglican Girls' School,1649.38,13
ID828357810,104 Weeden Dr,VERMONT SOUTH,1300000.0,h,19/08/2017,5,2.0,2.0,786.0,49.0,-37.86072,145.18489,19899,4551.36,31.67,False,281.67,524.33,75.33,Camelot Rise Primary School,567.2,36,Highvale Secondary College,880.59,138
